Artikelnummer;GTIN;Name;Bestand
CSR-ZB014;4251148318076;Blinker Lampen Halter zum Nachrüsten ZB014;5
CSR-MHV121;4251148315259;Motorhaubenverlängerung für Audi 80 B3 / 90 MHV121;12
CSR-MHV104;4251148315181;Motorhaubenverlängerung für Audi A3 8L MHV104;14
CSR-MHV204;4251148315297;Motorhaubenverlängerung für Audi A3 8L MHV204;9
CSR-MHV022;4251148314887;Motorhaubenverlängerung für Audi A4 B6 MHV022;15
CSR-MHV111;4251148315204;Motorhaubenverlängerung für Audi A4 B5 MHV111;15
CSR-MHV002;4251148314702;Motorhaubenverlängerung für BMW E30 3er MHV002;44
CSR-MHV003;4251148314719;Motorhaubenverlängerung für BMW E36 3er MHV003;12
CSR-MHV004;4251148314726;Motorhaubenverlängerung für Ford Escort MHV004;15
CSR-MHV006;4251148314733;Motorhaubenverlängerung für Opel Astra F MHV006;26
CSR-MHV101;4251148315174;Motorhaubenverlängerung für Opel Astra G MHV101;13
CSR-MHV007;4251148314740;Motorhaubenverlängerung für Opel Corsa A MHV007;19
CSR-MHV008;4251148314757;Motorhaubenverlängerung für Opel Corsa B MHV008;19
CSR-MHV009;4251148314764;Motorhaubenverlängerung für Opel Tigra A MHV009;2
CSR-MHV106;4251148315198;Motorhaubenverlängerung für Opel Vectra MHV106;20
CSR-MHV209;4251148315303;Motorhaubenverlängerung für Seat Ibiza / Cordoba MHV209;15
CSR-MHV010;4251148314771;Motorhaubenverlängerung für Opel Vectra MHV010;12
CSR-MHV011;4251148314788;Motorhaubenverlängerung für Opel Vectra B MHV011;16
CSR-MHV013;4251148314801;Motorhaubenverlängerung für VW Golf 3 MHV013;2
CSR-MHV113;4251148315211;Motorhaubenverlängerung für VW Golf 3 MHV113;1
CSR-MHV014;4251148314818;Motorhaubenverlängerung für VW Golf 4 MHV014;24
CSR-MHV114;4251148315228;Motorhaubenverlängerung für VW Golf 4 MHV114;0
CSR-MHV059;4251148315167;Motorhaubenverlängerung für VW Golf 5 MHV059;10
CSR-MHV222;4251148315310;Motorhaubenverlängerung für VW Passat B4 MHV222;15
CSR-MHV016;4251148314832;Motorhaubenverlängerung für VW Polo 6N2 MHV016;15
CSR-MHV015;4251148314825;Motorhaubenverlängerung für VW Polo 3 6N MHV015;15
